"cohort_date","offset_days","active_users","total_users","retention_rate"
2019-11-01,0,223108,223108,100.00
2019-11-01,1,41734,223108,18.71
2019-11-01,2,34691,223108,15.55
2019-11-01,3,36635,223108,16.42
2019-11-01,4,32916,223108,14.75
2019-11-01,5,31128,223108,13.95
2019-11-01,6,31610,223108,14.17
2019-11-01,7,30147,223108,13.51
2019-11-01,8,27757,223108,12.44
2019-11-01,9,27727,223108,12.43
2019-11-01,10,28307,223108,12.69
2019-11-01,11,28005,223108,12.55
2019-11-01,12,27606,223108,12.37
2019-11-01,13,32585,223108,14.61
2019-11-01,14,42554,223108,19.07
2019-11-01,15,47517,223108,21.30
2019-11-01,16,44040,223108,19.74
2019-11-01,17,27879,223108,12.50
2019-11-01,18,22853,223108,10.24
2019-11-01,19,21589,223108,9.68
2019-11-01,20,20257,223108,9.08
2019-11-01,21,19441,223108,8.71
2019-11-01,22,18603,223108,8.34
2019-11-01,23,18297,223108,8.20
2019-11-01,24,18496,223108,8.29
2019-11-01,25,19876,223108,8.91
2019-11-01,26,20144,223108,9.03
2019-11-01,27,19758,223108,8.86
2019-11-01,28,21959,223108,9.84
2019-11-01,29,19611,223108,8.79
2019-11-02,0,192951,192951,100.00
2019-11-02,1,29927,192951,15.51
2019-11-02,2,25884,192951,13.41
2019-11-02,3,22678,192951,11.75
2019-11-02,4,21295,192951,11.04
2019-11-02,5,21538,192951,11.16
2019-11-02,6,20691,192951,10.72
2019-11-02,7,19980,192951,10.35
2019-11-02,8,19757,192951,10.24
2019-11-02,9,19555,192951,10.13
2019-11-02,10,18675,192951,9.68
2019-11-02,11,18465,192951,9.57
2019-11-02,12,21848,192951,11.32
2019-11-02,13,29791,192951,15.44
2019-11-02,14,35047,192951,18.16
2019-11-02,15,32859,192951,17.03
2019-11-02,16,18980,192951,9.84
2019-11-02,17,15631,192951,8.10
2019-11-02,18,14719,192951,7.63
2019-11-02,19,14053,192951,7.28
2019-11-02,20,13627,192951,7.06
2019-11-02,21,13433,192951,6.96
2019-11-02,22,13288,192951,6.89
2019-11-02,23,12797,192951,6.63
2019-11-02,24,13909,192951,7.21
2019-11-02,25,14162,192951,7.34
2019-11-02,26,13654,192951,7.08
2019-11-02,27,15329,192951,7.94
2019-11-02,28,14268,192951,7.39
2019-11-03,0,175569,175569,100.00
2019-11-03,1,25784,175569,14.69
2019-11-03,2,20111,175569,11.45
2019-11-03,3,18339,175569,10.45
2019-11-03,4,18278,175569,10.41
2019-11-03,5,17445,175569,9.94
2019-11-03,6,16771,175569,9.55
2019-11-03,7,16911,175569,9.63
2019-11-03,8,16447,175569,9.37
2019-11-03,9,16149,175569,9.20
2019-11-03,10,15693,175569,8.94
2019-11-03,11,18613,175569,10.60
2019-11-03,12,25583,175569,14.57
2019-11-03,13,30125,175569,17.16
2019-11-03,14,28810,175569,16.41
2019-11-03,15,16358,175569,9.32
2019-11-03,16,13263,175569,7.55
2019-11-03,17,12129,175569,6.91
2019-11-03,18,11753,175569,6.69
2019-11-03,19,11040,175569,6.29
2019-11-03,20,11086,175569,6.31
2019-11-03,21,11091,175569,6.32
2019-11-03,22,10707,175569,6.10
2019-11-03,23,11639,175569,6.63
2019-11-03,24,11802,175569,6.72
2019-11-03,25,11411,175569,6.50
2019-11-03,26,12658,175569,7.21
2019-11-03,27,11810,175569,6.73
2019-11-04,0,187309,187309,100.00
2019-11-04,1,25730,187309,13.74
2019-11-04,2,20835,187309,11.12
2019-11-04,3,19801,187309,10.57
2019-11-04,4,18230,187309,9.73
2019-11-04,5,16304,187309,8.70
2019-11-04,6,16159,187309,8.63
2019-11-04,7,17596,187309,9.39
2019-11-04,8,17123,187309,9.14
2019-11-04,9,16370,187309,8.74
