"brand","revenue","purchase_count","avg_check","unique_viewers","unique_purchasers","convertion_rate","cart_abandon_rate"
apple,127512524.88,166064,767.85,921271,83664,9.08,66.09
samsung,54869880.87,200027,274.31,1174393,113477,9.66,66.51
xiaomi,11259865.96,68292,164.88,610454,43988,7.21,73.74
"",11025718.79,73273,150.47,1270142,50682,3.99,71.63
lg,5239018.76,12879,406.79,216270,9408,4.35,73.93
huawei,4780682.35,23703,201.69,285037,15931,5.59,67.86
sony,3862886.30,10309,374.71,180081,7096,3.94,70.49
lucente,3527545.57,14559,242.29,229359,9406,4.10,62.72
oppo,3488540.76,15080,231.34,174271,10069,5.78,66.21
acer,3347306.53,6402,522.85,129470,4650,3.59,68.59
